2024-07-01 12:59:07.703 -05 [8052] LOG:  checkpoint complete: wrote 44 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.395 s, sync=0.012 s, total=4.423 s; sync files=10, longest=0.003 s, average=0.002 s; distance=237 kB, estimate=763 kB; lsn=0/C5C8B50, redo lsn=0/C5C8B18
2024-07-01 13:14:03.723 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:14:14.079 -05 [8052] LOG:  checkpoint complete: wrote 98 buffers (0.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=10.314 s, sync=0.021 s, total=10.357 s; sync files=11, longest=0.008 s, average=0.002 s; distance=958 kB, estimate=958 kB; lsn=0/C6B8560, redo lsn=0/C6B8528
2024-07-01 13:19:03.075 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:19:04.937 -05 [8052] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.836 s, sync=0.012 s, total=1.863 s; sync files=10, longest=0.002 s, average=0.002 s; distance=126 kB, estimate=875 kB; lsn=0/C6D7E28, redo lsn=0/C6D7DF0
2024-07-01 13:24:03.948 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:24:05.262 -05 [8052] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.289 s, sync=0.015 s, total=1.314 s; sync files=9, longest=0.008 s, average=0.002 s; distance=76 kB, estimate=795 kB; lsn=0/C6EB0F0, redo lsn=0/C6EB0B8
2024-07-01 13:34:03.266 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:34:07.310 -05 [8052] LOG:  checkpoint complete: wrote 40 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.011 s, sync=0.022 s, total=4.044 s; sync files=11, longest=0.008 s, average=0.002 s; distance=265 kB, estimate=742 kB; lsn=0/C72D680, redo lsn=0/C72D648
2024-07-01 13:39:03.301 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:39:11.298 -05 [8052] LOG:  checkpoint complete: wrote 79 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.958 s, sync=0.025 s, total=7.997 s; sync files=10, longest=0.010 s, average=0.003 s; distance=263 kB, estimate=694 kB; lsn=0/C76F2B8, redo lsn=0/C76F280
2024-07-01 13:44:03.301 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:44:12.788 -05 [8052] LOG:  checkpoint complete: wrote 92 buffers (0.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.460 s, sync=0.016 s, total=9.488 s; sync files=11, longest=0.007 s, average=0.002 s; distance=834 kB, estimate=834 kB; lsn=0/C87FC00, redo lsn=0/C83FE68
2024-07-01 13:49:03.789 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 13:49:31.149 -05 [8052] LOG:  checkpoint complete: wrote 262 buffers (1.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=27.326 s, sync=0.026 s, total=27.360 s; sync files=18, longest=0.009 s, average=0.002 s; distance=400 kB, estimate=791 kB; lsn=0/C8A4228, redo lsn=0/C8A41F0
2024-07-01 13:50:56.884 -05 [19992] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-07-01 13:50:56.884 -05 [8240] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-07-01 13:50:56.884 -05 [1660] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-07-01 13:50:56.885 -05 [13416] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-07-01 13:50:56.885 -05 [10512] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
